id,biz,category_name,description,status,parent_id,create_admin_id,create_time,real_id,version_number,category_type,parent_type,appeal_related,category_description,org_id,function_type,use_status,archive_status,kpn,front_param,weight,path,update_admin_id,update_time
4953850,1,其他,,0,0,704054289,1569812065375,45068,1582,2,1,1,,26874,1,1,0,KUAISHOU,,8,45068,7043085392,1639387345351
4953851,1,无效工单,,0,45068,994523808,1571216407552,57912,1582,2,2,1,,26874,1,1,0,KUAISHOU,,0,,0,0
4953852,1,客服产品专用,,0,45068,994523808,1571661481688,63031,1582,2,2,1,,0,1,1,0,KUAISHOU,,0,,0,0
4954012,1,智能客服,,0,0,994523808,1573558954430,96650,1582,2,2,1,智能客服无效内容。闲聊、spam,0,1,1,0,KUAISHOU,,13,96650,0,0
4954013,1,AI前置问题,,0,96650,367478309,1611801770663,2299397,1582,2,0,1,,0,1,1,0,KUAISHOU,,5,"96650,2299397",0,0
4954014,1,Spam,,0,96650,367478309,1611801798158,2299398,1582,2,0,1,,0,1,1,0,KUAISHOU,,4,"96650,2299398",0,0
4954015,1,跨FT,,0,96650,367478309,1611801811178,2299399,1582,2,0,1,,0,1,1,0,KUAISHOU,,3,"96650,2299399",0,0
4954016,1,非业务问题,,0,96650,367478309,1611801825555,2299400,1582,2,0,1,,0,1,1,0,KUAISHOU,,2,"96650,2299400",0,0
4954282,1,安全,,0,0,367478309,1584088742056,358528,1582,2,2,2,,0,1,1,0,KUAISHOU,,15,358528,0,0
4954285,1,申诉,,0,358528,2109569342,1609233181058,2015836,1582,2,0,2,,0,1,1,0,KUAISHOU,,6,"358528,2015836",0,0
4954300,1,举报,,0,358528,2109569342,1609234897792,2015851,1582,2,0,2,,0,1,1,0,KUAISHOU,,5,"358528,2015851",0,0
4954301,1,举报作品,,0,2015851,2109569342,1609235236114,2015852,1582,2,0,2,,3659795,1,1,0,KUAISHOU,,10,"358528,2015851,2015852",0,0
4954302,1,举报直播,,0,2015851,2109569342,1609235433126,2015853,1582,2,0,2,,3659790,1,1,0,KUAISHOU,,9,"358528,2015851,2015853",0,0
4954303,1,举报用户,,0,2015851,2109569342,1609235443515,2015854,1582,2,0,2,,3659793,1,1,0,KUAISHOU,,8,"358528,2015851,2015854",0,0
4954304,1,举报评论,,0,2015851,2109569342,1609235657100,2015855,1582,2,0,2,,3659793,1,1,0,KUAISHOU,,7,"358528,2015851,2015855",0,0
4954305,1,举报私信,,0,2015851,2109569342,1609235683872,2015856,1582,2,0,2,,3659794,1,1,0,KUAISHOU,,6,"358528,2015851,2015856",0,0
4954306,1,举报说说,,0,2015851,2109569342,1609235730199,2015857,1582,2,0,2,,3659794,1,1,0,KUAISHOU,,5,"358528,2015851,2015857",0,0
4954307,1,举报群,,0,2015851,2109569342,1609235827441,2015858,1582,2,0,2,,3659794,1,1,0,KUAISHOU,,4,"358528,2015851,2015858",0,0
4954309,1,举报其它,,0,2015851,2109569342,1609235861563,2015860,1582,2,0,2,,3659794,1,1,0,KUAISHOU,,3,"358528,2015851,2015860",0,0
4954310,1,账号安全,,0,4986070,2109569342,1609238048556,2015861,1582,2,0,2,,0,1,1,0,KUAISHOU,,1,"1739993,1327174,4986070,2015861",1965818071,1648634027253
4954311,1,账号找回,,0,2015861,2109569342,1609238090457,2015862,1582,2,0,2,,3659794,1,1,0,KUAISHOU,,9,"1739993,1327174,4986070,2015861,2015862",0,0
4954312,1,账号注销,,0,2015861,2109569342,1609238122858,2015863,1582,2,0,2,,3659794,1,1,0,KUAISHOU,,8,"1739993,1327174,4986070,2015861,2015863",0,0
4954313,1,盗号,,0,2015861,2109569342,1609238131347,2015864,1582,2,0,2,,3659794,1,1,0,KUAISHOU,,7,"1739993,1327174,4986070,2015861,2015864",0,0
4954314,1,账号激活,,0,2015861,2109569342,1609238164390,2015865,1582,2,0,2,,3659794,1,1,0,KUAISHOU,,6,"1739993,1327174,4986070,2015861,2015865",0,0
4954315,1,账号保护,,0,2015861,2109569342,1609238180949,2015866,1582,2,0,2,,3659794,1,1,0,KUAISHOU,,5,"1739993,1327174,4986070,2015861,2015866",0,0
4954316,1,账号冻结,,0,2015861,2109569342,1609238193215,2015867,1582,2,0,2,,3659794,1,1,0,KUAISHOU,,4,"1739993,1327174,4986070,2015861,2015867",0,0
4954317,1,账号解冻,,0,2015861,2109569342,1609238206281,2015868,1582,2,0,2,,3659794,1,1,0,KUAISHOU,,3,"1739993,1327174,4986070,2015861,2015868",0,0
4954318,1,账号纠纷/交易,,0,2015861,2109569342,1609238248477,2015869,1582,2,0,2,,3659794,1,1,0,KUAISHOU,,2,"1739993,1327174,4986070,2015861,2015869",0,0
4954320,1,账号风控,,0,2015861,1965818071,1627284899276,3566843,1582,2,0,1,,3659794,1,1,0,KUAISHOU,,1,"1739993,1327174,4986070,2015861,3566843",0,0
4954321,1,维权,,0,358528,2109569342,1609244773868,2023680,1582,2,0,2,,0,1,1,0,KUAISHOU,,4,"358528,2023680",0,0
4954322,1,作品维权,,0,2023680,2109569342,1609244810115,2023681,1582,2,0,2,,3659795,1,1,0,KUAISHOU,,0,,0,0
4954323,1,用户资料维权,,0,2023680,2109569342,1609244829977,2023682,1582,2,0,2,,3659794,1,1,0,KUAISHOU,,0,,0,0
