id,qid,title,pid,tag,effective_time_begin,effective_time_end,online_status,audit_status,keywords,channels,contents,create_time,create_admin_id,update_time,update_admin_id,small_qids,biz,biz_line,aids,parent_qid,function_id,parent_aid,archive_status,scope,document_url,kpn,front_param,weight,path
157745,157745,测试标准问61,,,0,9223372036854775807,1,2,,,,1654083627185,8200570811,1654509848499,1898937327,,kuaishou,,,0,4987070,,0,"3,1",,KUAISHOU,,2,"4987070,157745"
157755,157755,快手小店（买家端）回头客匿名评价后商家为什么可以私信我,,,0,9223372036854775807,1,2,,,,1654144437161,1531118414,1654158180628,1531118414,,kuaishou,,,0,4986812,,0,"1,2,3",,KUAISHOU,,9,"4986812,157755"
157774,157774,怎么使用剪辑功能,,,0,9223372036854775807,1,2,,,,1654497853008,7430847933,1654497853008,1587849197,,kuaishou,,,0,1382726,,0,"1,2,3",https://simperfect.corp.kuaishou.com/KnowledgeBase/res/getResDetail.do?resId=30943,KUAISHOU,,2,"1382726,157774"
157775,157775,申请将画布9:17的比例恢复至9:16,,,0,9223372036854775807,1,2,,,,1654500612704,7430847933,1654500612704,7430847933,,kuaishou,,,0,1382712,,0,"1,2,3",,KUAISHOU,,2,"1382712,157775"
157776,157776,拍同款功能-其他问题,,,0,9223372036854775807,1,2,,,,1654505345441,7430847933,1654505345441,7430847933,,kuaishou,,,0,1382718,,0,1,,KUAISHOU,,3,"1382718,157776"
157777,157777,建议支持隐藏作品左下角某类标签,,,0,9223372036854775807,1,2,,,,1654505731465,7430847933,1654505731465,1587849197,,kuaishou,,,0,1382719,,0,"1,2,3",https://simperfect.corp.kuaishou.com/KnowledgeBase/res/getResDetail.do?resId=34546,KUAISHOU,,3,"1382719,157777"
157779,157779,建议支持批量设置私密作品,,,0,9223372036854775807,1,2,,,,1654508498554,7430847933,1654508498554,7430847933,,kuaishou,,,0,4985896,,0,"1,2,3",,KUAISHOU,,1,"4985896,157779"
157780,157780,置顶作品-其他问题,,,0,9223372036854775807,1,2,,,,1654509264573,7430847933,1654509264573,7430847933,,kuaishou,,,0,4985897,,0,1,,KUAISHOU,,4,"4985897,157780"
157782,157782,电脑端创作者服务平台-其他问题,,,0,9223372036854775807,1,2,,,,1654512561121,7430847933,1654512561121,7430847933,,kuaishou,,,0,360440,,0,1,,KUAISHOU,,1,"360440,157782"
157784,157784,其他游戏-更新问题咨询,,,0,9223372036854775807,1,2,,,,1654568137090,2378140925,1654568137090,2378140925,,kuaishou,,,0,4986069,,0,1,,KUAISHOU,,5,"4986069,157784"
157785,157785,其他游戏-下载与安装异常,,,0,9223372036854775807,1,2,,,,1654568137128,2378140925,1654568137128,2378140925,,kuaishou,,,0,4986069,,0,1,,KUAISHOU,,4,"4986069,157785"
157786,157786,其他游戏-下载安装方式,,,0,9223372036854775807,1,2,,,,1654568137146,2378140925,1654568137146,2378140925,,kuaishou,,,0,4986069,,0,1,,KUAISHOU,,3,"4986069,157786"
157787,157787,其他游戏-预约下载,,,0,9223372036854775807,1,2,,,,1654568137160,2378140925,1654568137160,2378140925,,kuaishou,,,0,4986069,,0,1,,KUAISHOU,,2,"4986069,157787"
157788,157788,其他游戏-下载活动/福利,,,0,9223372036854775807,1,2,,,,1654568137174,2378140925,1654568137174,2378140925,,kuaishou,,,0,4986069,,0,1,,KUAISHOU,,1,"4986069,157788"
